crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
Top-Engineer,Private,"Human Resources, Outsourcing, Recruiting",51-100,"Bologna, Emilia-Romagna, Italy","3,657,563",10.0,,,,,,,,,,,,,,,2019-01-01,Active,,40139,TOP ENGINEERING S.R.L.,Treviso,31043.0,Veneto,,,,,256200.0,04/04/2019,,Attiva,S.R.L.
hiop,Private,"Artificial Intelligence (AI), Data Integration, Data Management, SaaS",11-50,"Milan, Lombardia, Italy","211,833",10.0,,,,,,,,,,,,"Enrico La Sala, Giacomo Barone, Vincenzo Marino",3.0,,2020-04-01,Active,,,HIOP S.R.L.,Bari,70022.0,Puglia,VIA CAPRI 44,Bari,70022.0,PUGLIA,620909.0,27/04/2020,,Attiva,S.R.L.
TERZADIMENSIONE,Private,"Architecture, Commercial, Furniture, Interior Design, Residential",1-10,"Imola, Emilia-Romagna, Italy","3,109,730",8.0,,,,,,,,,,,,,,,2020-01-01,Active,,40026,TERZADIMENSIONE S.R.L.,Bologna,40026.0,Emilia-Romagna,VIA ACHILLE GRANDI 20,Bologna,40026.0,EMILIA-ROMAGNA,234200.0,12/02/2020,,Attiva,S.R.L.
Delivery Valley,Private,"Food and Beverage, Food Processing, Marketing, Restaurants",11-50,"Milan, Lombardia, Italy","1,273,512",12.0,,,,,,,,,,,,Alida Gotta,1.0,,2020-01-01,Active,$1M to $10M,20136,DELIVERY VALLEY S.R.L.,Milano,20136.0,Lombardia,VIA VALTELLINA 10,Milano,20159.0,LOMBARDIA,561020.0,10/03/2020,,Attiva,S.R.L.
movenzia.com,Private,"Autonomous Vehicles, Car Sharing, Rental",11-50,"Turin, Piemonte, Italy","996,586",12.0,,,,,,,,,,,,Sergio Brizzo,1.0,,2021-01-01,Active,,10123,MOVENZIA.COM S.R.L.,Torino,10121.0,Piemonte,,,,,771100.0,24/01/2022,,Attiva,S.R.L.
Value China,Private,"Advertising, Consulting, Digital Marketing",11-50,"Milan, Lombardia, Italy","2,210,492",10.0,,,,,,,,,,,,,,,2018-01-01,Active,,20137,VALUE CHINA S.R.L.,Milano,20137.0,Lombardia,VIA DECEMVIRI 20,Milano,20137.0,LOMBARDIA,631200.0,11/11/2019,,Attiva,S.R.L.
Sangiorgio Marine,Private,"Industrial, Marine Technology, Marine Transportation",11-50,"Genoa, Liguria, Italy","2,840,888",16.0,,,,,,,,,,,,Edoardo Bianchi,1.0,,2022-01-01,Active,,16128,SANGIORGIO S.R.L.,Genova,16121.0,Liguria,VIA ROMA 1/10,Genova,16121.0,LIGURIA,301200.0,10/11/2021,,Attiva,S.R.L.
Artificial Intelligence For Smart Manufacturing Applications,Private,"Artificial Intelligence (AI), Consulting, Digital Marketing, Information Technology",1-10,"Milano, Lombardia, Italy","2,664,064",14.0,,,,,,,,,,,,,,,2020-01-01,Active,,,ARTIFICIAL INTELLIGENCE FOR SMART MANUFACTURING APPLICATIONS - AISMA S.R.L.,Milano,20122.0,Lombardia,CORSO DI PORTA VITTORIA 28,Milano,20122.0,LOMBARDIA,620100.0,15/10/2020,,Attiva,S.R.L.
Accompany,Private,"Information Technology, Software, Sustainability",,"Milano, Lombardia, Italy","1,106,535",7.0,,,,,,,,,,,,,,,2019-01-01,Active,,20123,ACCOMPANY SRL,Milano,20123.0,Lombardia,,,,,620100.0,16/04/2019,,Attiva,S.R.L.
EnGreen,Private,"Energy, Project Management, Sustainability",11-50,"Rome, Lazio, Italy","2,907,044",17.0,,,,,,,,,,,,"Carlo Tacconelli, Valeria Gambino",2.0,,2018-01-01,Active,$1M to $10M,144,ENGREEN SRL,Roma,144.0,Lazio,,,,,749000.0,24/06/2019,,Attiva,S.R.L.
Jobtech,Private,"Human Resources, Information Technology, Mobile Apps, Recruiting",101-250,"Milan, Lombardia, Italy","45,382",8.0,,,4.0,1.0,"Lumen Ventures, Oltre Impact, ICLUB VC, TA Ventures",7065000.0,Series A,5265000.0,5265000.0,Early Stage Venture,2.0,"Angelo Sergio Zamboni, Paolo Andreozzi",2.0,,2020-02-10,Active,,20123,JOBTECH S.R.L.,Milano,20121.0,Lombardia,VIA BORROMEI 6,Milano,20123.0,LOMBARDIA,620100.0,10/06/2019,,Attiva,S.R.L.
BeYou,Private,"Analytics, Consulting, Human Resources, Online Portals",1-10,"Milan, Lombardia, Italy","3,362,444",13.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,20121,BE YOU SRL,Napoli,80122.0,Campania,VIALE ANTONIO GRAMSCI 15,Napoli,80122.0,CAMPANIA,620100.0,23/12/2020,,Attiva,S.R.L.
PIXORA,Private,"Cloud Computing, Consulting, Data Collection and Labeling, Web Apps",11-50,"Catania, Sicilia, Italy","1,584,928",11.0,,,,,,,,,,,,,,,2021-01-01,Active,,95126,PIXORA S.R.L.,Catania,95126.0,Sicilia,,,,,620200.0,07/09/2021,,Attiva,S.R.L.
BIOLOGIK-SYSTEMS,Private,"Biomass Energy, Recycling, Waste Management",1-10,"Bolzano, Friuli-Venezia Giulia, Italy","1,153,990",9.0,,,,,,,,,,,,,,,2019-01-01,Active,,39100,BIOLOGIK-SYSTEMS S.R.L.,Bolzano/Bozen,39100.0,Trentino-Alto Adige/Südtirol,,,,,283090.0,12/02/2019,,Attiva,S.R.L.
Finix Technologies Solutions,Private,"Artificial Intelligence (AI), Information Technology, Internet of Things, IT Infrastructure",51-100,"Milan, Lombardia, Italy","1,919,519",,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,20126,TECHNOLOGICAL GROUP SOLUTIONS SRL,Ancona,60035.0,Marche,,,,,256200.0,08/09/2020,,Attiva,S.R.L.
Bowlpros,Private,"Food and Beverage, Food Delivery, Food Processing",1-10,"Milano, Lombardia, Italy","102,374",9.0,,,1.0,,Club degli Investitori,565725.0,Seed,565725.0,565725.0,Seed,1.0,"Carlo Roberto Eroini, Davide Petruzzi, Ioannis Stivis",3.0,,2020-01-01,Active,$1M to $10M,,BOWLPROS S.R.L.,Milano,20122.0,Lombardia,LARGO AUGUSTO 3,Milano,20122.0,LOMBARDIA,479110.0,05/06/2020,,Attiva,S.R.L.
RedAbissi,Private,"Advertising, Digital Marketing, Social Media, Social Media Marketing",11-50,"Turin, Piemonte, Italy","163,980",8.0,,,,,,360000.0,Pre-Seed,360000.0,360000.0,Seed,1.0,Lucio Gamba,1.0,,2018-12-18,Active,$1M to $10M,10128,REDABISSI SRL,Torino,10128.0,Piemonte,CORSO VITTORIO EMANUELE II 44,Torino,10123.0,PIEMONTE,620100.0,12/12/2018,,Attiva,S.R.L.
Serranova,Private,"Agriculture, Farming",1-10,"Perugia, Umbria, Italy","1,959,195",10.0,,,,,,,,,,,,Matteo Graziani,1.0,,2019-01-01,Active,$1M to $10M,6135,SERRANOVA S.R.L.,Perugia,6135.0,Umbria,,,,,721909.0,05/09/2019,,Attiva,S.R.L.
Yealthy,Private,"Health Care, Home Health Care, Personal Health",1-10,"Milan, Lombardia, Italy","148,055",7.0,,,,,,153463.0,Seed,56201.0,56201.0,Seed,2.0,Andrea Giannuzzi,1.0,,2021-01-01,Active,,20146,YEALTH S.R.L.,Milano,20121.0,Lombardia,,,,,631200.0,15/07/2020,,Attiva,S.R.L.
Kuiri,Private,"Food and Beverage, Food Processing, Restaurants",11-50,"Milano, Lombardia, Italy","148,664",10.0,,,1.0,1.0,Mamacrowd,179561.0,Equity Crowdfunding,179561.0,179561.0,,1.0,,,,2020-01-01,Active,$1M to $10M,20136,KUIRI SRL,Milano,20136.0,Lombardia,VIALE COL DI LANA 8,Milano,20136.0,LOMBARDIA,620100.0,03/09/2020,,Attiva,S.R.L.
ThinkQuantum,Private,"Cryptocurrency, Information Technology",1-10,"Sarcedo, Veneto, Italy","435,588",15.0,,,,,,,,,,,,"Marco Avesani, Simone Capeleto",2.0,,2021-01-01,Active,$1M to $10M,36030,THINKQUANTUM S.R.L.,Vicenza,36030.0,Veneto,VIA DELLA TECNICA 85,Vicenza,36030.0,VENETO,263029.0,13/05/2021,,Attiva,S.R.L.
AM Innovation,Private,"Cloud Computing, Information Technology, Software",1-10,"Savigliano, Piemonte, Italy","1,305,775",,,,,,,,,,,,,,,,2019-01-01,Closed,,,R.M. INNOVATION S.R.L.,Torino,10121.0,Piemonte,,,,,466999.0,06/07/2021,,Attiva,S.R.L.
The Future Of,Private,"Podcast, Publishing",1-10,"Milano, Lombardia, Italy","2,373,366",4.0,,,,,,,,,,,,,,,2019-01-01,Active,,,FUTURE OF WORK GROUP S.R.L.,Milano,20135.0,Lombardia,,,,,702209.0,27/05/2020,,Attiva,S.R.L.
4neXt,Private,"Electronics, Hardware, Information Technology",1-10,"Vigonovo, Veneto, Italy","2,529,579",3.0,,,,,,,,,,,,,,,2018-01-01,Active,,30030,D4NEXT S.P.A.,Milano,20144.0,Lombardia,VIA SAVONA 19 A,Milano,20144.0,LOMBARDIA,620100.0,06/11/2020,,Attiva,S.P.A.
SunGAP,Private,"Management Consulting, Renewable Energy, Technical Support",11-50,"Bari, Puglia, Italy","1,105,889",11.0,,,,,,,,,,,,Giacomo Dachille,1.0,,2020-01-01,Active,Less than $1M,70124,SUNGAP S.R.L.,Bari,70124.0,Puglia,VIA MARCO PARTIPILO 38,Bari,70124.0,PUGLIA,749000.0,10/02/2020,,Attiva,S.R.L.
Fourgreen,Private,"Energy Efficiency, Environmental Engineering, Sustainability",1-10,"Monza, Lombardia, Italy","1,557,650",11.0,,,,,,,,,,,,"Fabio Iandolo, Umberto Naples",2.0,,2020-01-01,Active,,20900,FOURGREEN S.R.L.,Monza e della Brianza,20900.0,Lombardia,,,,,721909.0,21/07/2020,,Attiva,S.R.L.
Next,Private,"Commercial, Industrial Automation, Manufacturing",11-50,"Capannori, Toscana, Italy","2,207,519",13.0,,,,,,,,,,,,,,,2018-01-01,Active,,55060,INEXT S.R.L.,Napoli,80121.0,Campania,VICO DEL VASTO A CHIAIA 40,Napoli,80132.0,CAMPANIA,620100.0,10/05/2017,,Attiva,S.R.L.
