crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
Agricultural Production Engineering,Private,"Agriculture, Farming",1-10,"Carbonia, Sardegna, Italy","2,264,109",1.0,,,,,,,,,,,,,,,2019-01-01,Active,,9013,AGRICULTURAL PRODUCTION ENGINEERING S.R.L.,Sud Sardegna,9013.0,Sardegna,VIA GUGLIELMO MARCONI 28,,9013.0,SARDEGNA,721909.0,08/05/2019,,Attiva,S.R.L.
Veebor,Private,"Information Technology, IT Infrastructure, Software, Software Engineering",1-10,"Alessandria, Piemonte, Italy","1,357,542",2.0,,,,,,,,,,,,"Carlo Federico Vescovo, Luca Bordino",2.0,,2023-08-07,Active,,15121,EREBOR S.R.L.,Brindisi,72100.0,Puglia,,,,,620100.0,03/05/2021,,Attiva,S.R.L.
Vita,Private,"Fitness, Sports, Training, Wellness",11-50,"Genoa, Liguria, Italy","2,809,648",40.0,,,,,,,,,,,,,,,2020-01-01,Active,,16145,E-VITA S.R.L.,Monza e della Brianza,20900.0,Lombardia,,,,,721909.0,23/11/2021,,Attiva,S.R.L.
Aiko Industry,Private,"Health Care, Medical Device, Wellness",11-50,"Salerno, Campania, Italy","3,089,343",14.0,,,,,,,,,,,,,,,2020-01-01,Active,,84131,AIKO INDUSTRY S.R.L.,Salerno,84131.0,Campania,,,,,721909.0,17/06/2020,,Attiva,S.R.L.
Eriges,Private,"Consulting, Training",1-10,"Turin, Piemonte, Italy","3,076,303",9.0,,,,,,,,,,,,,,,2020-01-01,Active,,10138,ERIGES S.R.L.,Torino,10138.0,Piemonte,,,,,620200.0,03/09/2020,,Attiva,S.R.L.
B Side Italia,Private,"Consulting, Professional Services, Training",1-10,"Monte San Giusto, Marche, Italy","2,843,008",13.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,62015,B SIDE S.R.L.,Bologna,40127.0,Emilia-Romagna,,,,,702209.0,27/09/2021,,Attiva,S.R.L.
ACCUDIRE,Private,"Blockchain, Cloud Security, Software, Supply Chain Management",1-10,"Verona, Veneto, Italy","469,676",11.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,37121,ACCUDIRE SRL,Verona,37135.0,Veneto,,,,,620100.0,19/11/2019,,Attiva,S.R.L.
HPR Digital Medicine,Private,"Alternative Medicine, Health Care, Pharmaceutical",1-10,"Verona, Veneto, Italy","3,039,283",10.0,,,,,,,,,,,,,,,2022-01-01,Active,,,HPR DIGITAL MEDICINE S.R.L.,Verona,37135.0,Veneto,,,,,631200.0,25/05/2022,,Attiva,S.R.L.
AG TechS,Private,"Enterprise Resource Planning (ERP), IT Management, Product Management, Project Management, Software",1-10,"Spino D'adda, Lombardia, Italy","1,745,655",28.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,26016,GFC TECH S.R.L.,Napoli,80038.0,Campania,,,,,620100.0,21/02/2023,,Attiva,S.R.L.
Take Profit Solutions,Private,"Apps, FinTech",1-10,"Turin, Piemonte, Italy","2,611,170",11.0,,,,,,,,,,,,Giuliano Niero,1.0,,2021-01-01,Active,Less than $1M,10143,TAKE PROFIT SOLUTIONS SRL,Torino,10143.0,Piemonte,,,,,721909.0,07/07/2021,,Attiva,S.R.L.
Truckscreenia,Private,"Software, Web Design, Web Development",11-50,"Bolzano, Friuli-Venezia Giulia, Italy","1,640,300",12.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,39100,TRUCKSCREENIA S.R.L.,Bolzano/Bozen,39100.0,Trentino-Alto Adige/Südtirol,VIA ALESSANDRO VOLTA 13/A,Bolzano/Bozen,39100.0,TRENTINO-ALTO,721909.0,26/09/2019,,Attiva,S.R.L.
Artificial Intelligence Monitoring,Private,"Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Software",1-10,"Naples, Campania, Italy","124,042",9.0,,,1.0,1.0,Forward Factory,200000.0,Pre-Seed,200000.0,200000.0,Seed,1.0,,,,2020-09-30,Active,Less than $1M,80143,ATG ARTIFICIAL INTELLIGENCE SRL,Como,22036.0,Lombardia,,,,,620100.0,11/03/2020,,Attiva,S.R.L.
Nuzama,Private,"Information Technology, Pharmaceutical, Price Comparison",1-10,"Milan, Lombardia, Italy","3,479,291",2.0,,,,,,,,,,,,Emanuele Sogus,1.0,,2020-02-28,Active,,20143,NUZAMA S.R.L.,Milano,20143.0,Lombardia,,,,,631200.0,28/02/2020,,Attiva,S.R.L.
Universal Kinesiology,Private,"Customer Service, Online Portals, Shopping",,"Catanzaro, Calabria, Italy","2,342,931",14.0,,,,,,,,,,,,Martha Doria,1.0,,2022-01-01,Active,,,UNIVERSAL KINESIOLOGY S.R.L.,Catanzaro,88100.0,Calabria,,,,,631200.0,22/02/2022,,Attiva,S.R.L.
Khooa,Private,"Beauty, Fashion",1-10,"Milano, Lombardia, Italy","115,532",2.0,,,1.0,1.0,San Colombano Costruzioni,319869.0,Pre-Seed,319869.0,319869.0,Seed,1.0,"Antonella Viggiano, Benedetta Rosalba Fanelli",2.0,,2021-10-07,Active,,20121,KHOOA S.R.L.,Milano,20121.0,Lombardia,,,,,631200.0,07/10/2021,,Attiva,S.R.L.
Fleap,Private,"Blockchain, Financial Services, FinTech, Software",1-10,"Milan, Lombardia, Italy","251,688",28.0,,,,,,,,,,,,,,,2019-01-01,Active,,20158,LEAP S.R.L.,Valle d'Aosta/Vallée d'Aoste,11020.0,Valle d'Aosta/Vallée d'Aoste,,,,,620100.0,23/12/2021,,Attiva,S.R.L.
Sterify,Private,"Biotechnology, Medical Device",1-10,"Turin, Piemonte, Italy","1,869,626",11.0,,,,,,,,,,,,Paolo Fattori,1.0,,2020-01-01,Active,,10126,STERIFY SRL,Torino,10126.0,Piemonte,,,,,325011.0,07/10/2020,,Attiva,S.R.L.
Astradyne,Private,"Aerospace, Electronics, Information Technology, Space Travel",1-10,"Bari, Puglia, Italy","189,050",11.0,,,,,,,,,,,,,,,2021-01-01,Active,,,ASTRADYNE S.R.L.,Bari,70122.0,Puglia,,,,,721909.0,14/05/2021,,Attiva,S.R.L.
Data Prestige,Private,"Artificial Intelligence (AI), Information Technology, Software, Training",1-10,"Rome, Lazio, Italy","3,131,689",14.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,195,DATA PRESTIGE S.R.L.,Roma,197.0,Lazio,CIRCONVALLAZIONE CLODIA 80,Roma,195.0,LAZIO,620200.0,10/04/2019,,Attiva,S.R.L.
Simtech,Private,"3D Technology, Digital Media, Software",1-10,"Prato, Liguria, Italy","1,248,693",,,,,,,,,,,,,Sandro Devescovi,1.0,,2018-01-01,Active,,33037,SIDUSTECH S.R.L.,Monza e della Brianza,20831.0,Lombardia,,,,,620100.0,15/11/2021,,Attiva,S.R.L.
Star Horse Riding Care,Private,"Software, Training, Veterinary",,"Rome, Lazio, Italy","3,018,672",10.0,,,,,,,,,,,,,,,2021-01-01,Active,,191,STAR HORSE RIDING CARE S.R.L.,Roma,191.0,Lazio,,,,,931190.0,16/12/2021,,Attiva,S.R.L.
Acme Lab,Private,"Video Conferencing, Wireless",1-10,"Pordenone, Friuli-Venezia Giulia, Italy","1,722,234",3.0,,,,,,,,,,,,,,,2019-11-11,Active,Less than $1M,33170,ACME LAB SRL,Pordenone,33170.0,Friuli-Venezia Giulia,CORSO GIUSEPPE GARIBALDI 19/A,Pordenone,33170.0,FRIULI-VENEZIA,821101.0,11/11/2019,,Attiva,S.R.L.
AliA,Private,"Apps, Mobile Apps, Software",1-10,"Milano, Lombardia, Italy","1,842,114",12.0,,,,,,,,,,,,,,,2022-03-14,Active,,20121,TALIA S.R.L.,Pisa,56121.0,Toscana,VIA PONTE A PIGLIERI 8,Pisa,56121.0,TOSCANA,620100.0,28/06/2022,,Attiva,S.R.L.
Humason,Private,"Information Technology, Robotic Process Automation (RPA), Robotics",11-50,"Milan, Lombardia, Italy","1,254,391",11.0,,,,,,,,,,,,,,,2022-01-01,Active,,20123,HUMASON S.R.L.,Milano,20123.0,Lombardia,,,,,620100.0,02/02/2022,,Attiva,S.R.L.
Biomediteck,Private,"Medical, Product Research",1-10,"Milan, Lombardia, Italy","1,611,671",10.0,,,,,,,,,,,,,,,2021-01-01,Active,,20124,BIOMEDITECK & CO. S.R.L.,Milano,20146.0,Lombardia,,,,,721909.0,31/05/2021,,Attiva,S.R.L.
Vigneron.wine,Private,"E-Commerce, Food and Beverage, Gift Card, Wine And Spirits, Winery",,"Massarosa, Toscana, Italy","3,618,092",18.0,,,,,,,,,,,,,,,2019-01-01,Active,,55054,VIGNERON.WINE S.R.L.,Lucca,55054.0,Toscana,VIA LUIGI SPADA CENAMI 534,Lucca,55054.0,TOSCANA,620100.0,13/06/2019,,Attiva,S.R.L.
qomodo,Private,"Finance, Financial Services, FinTech",11-50,"Milan, Lombardia, Italy","6,234",13.0,,,36.0,3.0,"Plug and Play, RTP Global, Octopus Ventures, Primo Capital, Exor Ventures",50952835.0,Series A,14049387.0,14049387.0,Early Stage Venture,2.0,Gianluca Cocco,1.0,,2023-01-01,Active,,20121,QOMODO ALPHA S.P.A.,Milano,20121.0,Lombardia,,,,,620100.0,23/01/2023,,Attiva,S.P.A.
Lab01,Private,"Manufacturing, Medical, Medical Device",1-10,"Brescia, Lombardia, Italy","2,428,443",4.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,3625124,LAB101 SRL,Vicenza,36050.0,Veneto,,,,,620100.0,15/12/2020,,Attiva,S.R.L.
Involve Space,Private,"Aerospace, Space Travel",1-10,"Erba, Lombardia, Italy","38,155",1.0,,,8.0,2.0,"Plug and Play, Cassa Depositi e Prestiti, UniCredit, Intesa Sanpaolo, Earlybird Venture Capital",3314569.0,Seed,2762141.0,2762141.0,Seed,3.0,,,,2018-01-01,Active,,,INVOLVE GROUP S.R.L.,Como,22035.0,Lombardia,VIA ANTONIO BRUSA 69,Como,22035.0,LOMBARDIA,721909.0,06/04/2021,,Attiva,S.R.L.
POSTI,Private,,1-10,"Rome, Lazio, Italy","834,808",1.0,,,,,,,,,,,,,,,2018-01-01,Active,,161,POST S.R.L.,Torino,10123.0,Piemonte,,,,,731102.0,05/05/2021,,Attiva,S.R.L.
Mercato Itinerante,Private,"Delivery, Food and Beverage, Sustainability",1-10,"Turin, Piemonte, Italy","1,962,662",11.0,,,,,,,,,,,,"Andrea Scalogna, Eman Saffo",2.0,,2020-01-01,Active,,10135,MERCATO ITINERANTE S.R.L.,Torino,10135.0,Piemonte,,,,,631200.0,06/04/2020,,Attiva,S.R.L.
Novac,Private,"Electronics, Energy, Nanotechnology",1-10,"Modena, Emilia-Romagna, Italy","79,191",12.0,,,3.0,1.0,"CDP Venture Capital, Plug and Play, Eureka Venture SGR",444412.0,Pre-Seed,444412.0,444412.0,Seed,1.0,,,,2020-01-01,Active,,41125,NOVAC S.R.L.,Modena,41122.0,Emilia-Romagna,,,,,261109.0,08/08/2020,,Attiva,S.R.L.
2SMArtEST,Private,"Apps, B2B, Industrial Engineering, Product Management",1-10,"Rende, Calabria, Italy","1,897,118",10.0,,,,,,,,,,,,,,,2019-01-01,Active,,87036,2SMARTEST S.R.L.,Cosenza,87036.0,Calabria,,,,,721909.0,15/10/2019,,Attiva,S.R.L.
Woodsound,Private,"Handmade, Musical Instruments, Retail",,"Treviso, Veneto, Italy","2,995,551",11.0,,,,,,,,,,,,,,,2019-12-04,Active,,31030,WOODSOUND S.R.L.,Treviso,31030.0,Veneto,,,,,264001.0,03/12/2019,,Attiva,S.R.L.
fees,Private,"Apps, Finance, Financial Services, FinTech, Mobile, SaaS",1-10,"Cremona, Emilia-Romagna, Italy","116,680",12.0,,,,,,257500.0,Corporate Round,121000.0,121000.0,,3.0,"Matteo Mazzolari, Paolo Pavesi",2.0,,2019-11-14,Active,Less than $1M,26100,FEES S.R.L.,Cremona,26013.0,Lombardia,VIA GIUSEPPE DI VITTORIO 2,Cremona,26013.0,LOMBARDIA,631119.0,13/02/2019,,Attiva,S.R.L.
Bereva,Private,"Industrial, Machinery Manufacturing, Manufacturing, Product Design",,"Mestrino, Veneto, Italy","2,999,892",31.0,,,,,,,,,,,,,,,2019-07-15,Active,Less than $1M,35035,BEREVA S.R.L.,Bolzano/Bozen,39040.0,Trentino-Alto Adige/Südtirol,VIA TORINO 24,Padova,35035.0,VENETO,721909.0,31/05/2019,,Attiva,S.R.L.
Additive Appliances,Private,"3D Printing, Consumer Goods, Manufacturing",1-10,"Torino, Piemonte, Italy","146,555",7.0,,,3.0,1.0,"Horizon 2020, Optimad, Andrea Scarabosio",287535.0,Pre-Seed,179549.0,107986.0,Seed,2.0,Tommaso Beccuti,1.0,,2021-04-15,Active,,10121,ADDITIVE APPLIANCES S.R.L.,Torino,10121.0,Piemonte,,,,,275100.0,11/03/2021,,Attiva,S.R.L.
BeGreentelligent,Private,"Farming, PaaS",1-10,"Santa Croce Sull' Arno, Toscana, Italy","2,376,543",2.0,,,,,,,,,,,,Gianni Schiano,1.0,,2020-11-18,Active,Less than $1M,56029,BEGREENTELLIGENT S.R.L.,Pisa,56029.0,Toscana,VIA XXV APRILE 3,Pisa,56029.0,TOSCANA,829999.0,09/11/2020,,Attiva,S.R.L.
BiSTEMS,Private,"Biofuel, Biotechnology, Chemical, Fuel",1-10,"Bolzano, Friuli-Venezia Giulia, Italy","397,529",6.0,,,,,,,,,,,,Stefano Piazzi,1.0,,2022-01-01,Active,,39100,BISTEMS SRL,Bolzano/Bozen,39100.0,Trentino-Alto Adige/Südtirol,,,,,282991.0,21/01/2022,,Attiva,S.R.L.
Rotonium,Private,"Information Technology, Internet, Quantum Computing",1-10,"Padova, Veneto, Italy","66,167",10.0,,,1.0,1.0,Galaxia,1082385.0,Seed,1082385.0,1082385.0,Seed,1.0,"Fabrizio Tamburini, Roberto Siagri",2.0,,2022-01-01,Active,,35129,ROTONIUM S.R.L.,Udine,33013.0,Friuli-Venezia Giulia,PIAZZA GIUSEPPE GARIBALDI 14,Udine,33013.0,FRIULI-VENEZIA,261109.0,24/03/2022,,Attiva,S.R.L.
Business.Go,Private,"Business Development, Consulting, Enterprise Resource Planning (ERP), Information Services",11-50,"Vicenza, Veneto, Italy","1,684,294",2.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,36100,GO BUSINESS SRL,Milano,20124.0,Lombardia,PIAZZA IV NOVEMBRE 4,Milano,20124.0,LOMBARDIA,702209.0,04/12/2020,,Attiva,S.R.L.
Bridged,Private,"Business Development, Management Consulting, Project Management, Property Development",,"Milan, Lombardia, Italy","3,101,288",10.0,,,,,,,,,,,,,,,2021-03-24,Active,,20158,DBRIDGE S.R.L.,Milano,20123.0,Lombardia,,,,,620100.0,29/04/2022,,Attiva,S.R.L.
Builder-IT,Private,"Customer Service, Finance, FinTech, Information Technology",,"Milan, Lombardia, Italy","2,246,280",13.0,,,,,,,,,,,,,,,2022-01-01,Active,,20123,BUILDER-IT S.R.L.,Milano,20123.0,Lombardia,,,,,620100.0,15/03/2022,,Attiva,S.R.L.
Ozwol Technologies,Private,"Analytics, Artificial Intelligence (AI), Software",1-10,"Verona, Veneto, Italy","2,236,153",15.0,,,,,,,,,,,,,,,2018-01-01,Active,,37135,ROGO TECHNOLOGIES S.R.L.,Brescia,25077.0,Lombardia,,,,,289600.0,08/09/2021,,Attiva,S.R.L.
Arxax,Private,"CleanTech, FinTech",1-10,"Bozen, Trentino-Alto Adige, Italy","68,367",,,,4.0,2.0,"Cassa Depositi e Prestiti, EIT Urban Mobility, Invitalia, NextGenerationEU",1519566.0,Seed,484285.0,484285.0,Seed,4.0,Elham Hassanzadeh,1.0,,2021-02-08,Active,,39100,ARXAX S.R.L.,Bolzano/Bozen,39100.0,Trentino-Alto Adige/Südtirol,,,,,620100.0,12/04/2021,,Attiva,S.R.L.
All Well,Private,"Health Care, Health Insurance, Insurance, InsurTech",11-50,"Milano, Lombardia, Italy","97,287",5.0,,,,,,1524812.0,Undisclosed,546230.0,546230.0,,3.0,Flavio De Laurentis,1.0,,2022-01-01,Active,,20123,ALL WELL S.R.L.,Milano,20123.0,Lombardia,,,,,620100.0,19/03/2021,,Attiva,S.R.L.
Ncc.it,Private,"Apps, Automotive, Mobile Apps, Rental",1-10,"Rome, Lazio, Italy","584,240",32.0,,,,,,,,,,,,,,,2021-01-01,Active,Less than $1M,166,NCC.IT SRL,Roma,166.0,Lazio,,,,,620200.0,07/09/2021,,Attiva,S.R.L.
Business in Cloud,Private,"Education, Information Technology, Marketing, SaaS",11-50,"Rome, Lazio, Italy","129,062",8.0,,,,,,802305.0,Pre-Seed,802305.0,802305.0,Seed,1.0,"Andrea Genovese, Stefano Salvucci",2.0,,2019-01-01,Active,,192,NET BUSINESS CLOUD S.R.L.,Milano,20148.0,Lombardia,,,,,620909.0,09/12/2021,,Attiva,S.R.L.
ZPlus,Private,"Electric Vehicle, Electrical Distribution, Electronics, Industrial, Marketing, Security",,"Rovereto, Trentino-Alto Adige, Italy","3,061,370",16.0,,,,,,,,,,,,,,,2018-01-01,Active,,38068,ZPLUS SRL,Trento,38068.0,Trentino-Alto Adige/Südtirol,,,,,620100.0,18/06/2021,,Attiva,S.R.L.
agriverse,Private,"AgTech, Farming, Software",1-10,"Bari, Puglia, Italy","391,065",8.0,,,,,,,Seed,,,Seed,1.0,"Giangrazio Del Vento, Vito Sanitate",2.0,,2019-01-01,Active,,70125,GIVERSE S.R.L.,Roma,153.0,Lazio,VIA AVENTINA 7,Roma,153.0,LAZIO,721909.0,15/12/2021,,Attiva,S.R.L.
MindTips,Private,"Apps, Education, Training",1-10,"Milan, Lombardia, Italy","421,052",11.0,,,1.0,,SocialFare,,Seed,,,Seed,1.0,,,,2019-01-01,Active,,20145,MINDIS S.R.L.,Milano,20149.0,Lombardia,,,,,620100.0,26/09/2023,,Attiva,S.R.L.
Forte!,Private,"Artificial Intelligence (AI), Audio",1-10,"Turin, Piemonte, Italy","89,495",,,,3.0,1.0,"B4i - Bocconi for innovation, 40Jemz Ventures, AFP Capital",338109.0,Pre-Seed,338109.0,338109.0,Seed,1.0,,,,2024-05-16,Active,,,FORE S.R.L.,Padova,35137.0,Veneto,,,,,631119.0,08/10/2021,,Attiva,S.R.L.
Leonard,Private,"Food and Beverage, Information Technology, iOS, Mobile Apps, Software",1-10,"Roma, Lazio, Italy","198,155",5.0,,,1.0,1.0,HATCHER+,166192.0,Pre-Seed,166192.0,,Seed,2.0,"Marco Ottolini, Michele Pavone",2.0,,2019-01-01,Active,,185,LEONARDO S.R.L.,Milano,20124.0,Lombardia,,,,,466999.0,14/09/2020,,Attiva,S.R.L.
Tecnoseta,Private,"Manufacturing, Textiles, Wholesale",1-10,"Zagarolo, Lazio, Italy","2,181,528",36.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,39,TECNOSETA SRL,Roma,39.0,Lazio,PIAZZA PAPARELLI 27,Roma,39.0,LAZIO,131000.0,28/05/2019,,Attiva,S.R.L.
Valuematic,Private,"Analytics, Data Management, Management Consulting",1-10,"Lucca, Toscana, Italy","61,991",6.0,,,3.0,2.0,"Tech4Planet, Progress Tech Transfer Fund, Toscana Next Fund",1063443.0,Venture - Series Unknown,891272.0,891272.0,,2.0,,,,2020-01-01,Active,,55100,VALUEMATIC S.R.L.,Lucca,55100.0,Toscana,,,,,631120.0,24/06/2020,,Attiva,S.R.L.
Hmble,Private,"Advertising, Online Games, Sports",1-10,"Turin, Piemonte, Italy","2,179,801",8.0,,,,,,,,,,,,,,,2021-01-01,Active,,,HMBLE S.R.L.,Torino,10134.0,Piemonte,,,,,620100.0,03/03/2021,,Attiva,S.R.L.
Agrodigit,Private,"Agriculture, Mapping Services, Sensor",,"San Lorenzo Maggiore, Campania, Italy","979,345",5.0,,,,,,,,,,,,,,,2018-01-01,Active,,82034,AGRODIGIT S.R.L.,Benevento,82034.0,Campania,,,,,620200.0,28/06/2017,,Attiva,S.R.L.
Artelligenza,Private,"Business Development, Consulting, Content Creators, Creative Agency, Personal Development, Skill Assessment",1-10,"Modena, Emilia-Romagna, Italy","2,405,275",12.0,,,,,,,,,,,,,,,2020-12-16,Active,Less than $1M,1342,ARTELLIGENZA SRL-SB,Modena,41126.0,Emilia-Romagna,,,,,620100.0,11/12/2020,,Attiva,S.R.L.
saysoon,Private,"Art, Digital Marketing, Marketplace, Video",1-10,"Milan, Lombardia, Italy","3,159,611",6.0,,,,,,,,,,,,,,,2021-01-01,Active,,20148,SAYSOON S.R.L.,Milano,20122.0,Lombardia,,,,,631130.0,29/10/2021,,Attiva,S.R.L.
Waveful,Private,"Apps, Content Creators, Mobile Apps, Social Media, Software",1-10,"Milan, Lombardia, Italy","197,874",24.0,,,,,,,,,,,,"Dennis Motta, Gianluca Sorgente, Steven Motta",3.0,,2022-03-31,Active,,20121,WAVEFUL S.R.L.,Milano,20121.0,Lombardia,,,,,620100.0,31/03/2022,,Attiva,S.R.L.
experiency,Private,Web Design,1-10,"Milan, Lombardia, Italy","3,233,778",2.0,,,,,,,,,,,,,,,2021-01-01,Active,,,EXPERIENCES S.R.L.,Napoli,80053.0,Campania,,,,,620100.0,09/05/2018,,Attiva,S.R.L.
Authclick,Private,"Digital Media, Photography",,"Milano, Lombardia, Italy","2,213,548",2.0,,,,,,,,,,,,Maddalena Mazzocut-Mis,1.0,,2019-05-02,Active,Less than $1M,20123,MATHCLICK S.R.L.,Pisa,56125.0,Toscana,,,,,721909.0,13/10/2020,,Attiva,S.R.L.
Appcycled,Private,"E-Commerce Platforms, Fashion, Recycling, Sustainability",1-10,"Milan, Lombardia, Italy","762,475",6.0,,,,,,,,,,,,Diletta Pollice,1.0,,2021-07-01,Active,,20145,APPCYCLED SRL,Milano,20145.0,Lombardia,,,,,620100.0,01/07/2021,,Attiva,S.R.L.
UpsideTown,Private,"Financial Services, FinTech, Real Estate Investment",11-50,"Milan, Lombardia, Italy","2,138,656",10.0,,,,,,,,,,,,Luigi Ucci,1.0,,2019-01-01,Active,$1M to $10M,,UPSIDETOWN S.R.L.,Milano,20145.0,Lombardia,VIA MARIO PAGANO 69/A,Milano,20145.0,LOMBARDIA,631200.0,29/03/2019,,Attiva,S.R.L.
Purilian,Private,"Audio, Content, Music",1-10,"Florence, Toscana, Italy","1,859,480",8.0,,,,,,,,,,,,"Cosimo Barberi, Matteo Zarcone",2.0,,2021-01-01,Active,,50132,PURILIAN S.R.L.,Firenze,50132.0,Toscana,VIA DEI DELLA ROBBIA 46,Firenze,50132.0,TOSCANA,620100.0,01/04/2021,,Attiva,S.R.L.
WeInk,Private,"Big Data, CRM",1-10,"Trento, Trentino-Alto Adige, Italy","1,369,428",1.0,,,,,,,,,,,,Matteo Milani,1.0,,2022-01-01,Active,,38121,WINK S.R.L.,Milano,20136.0,Lombardia,,,,,620100.0,28/03/2023,,Attiva,S.R.L.
Sealivery,Private,"Apps, Customer Service, Food Delivery",1-10,"Roma, Lazio, Italy","182,681",2.0,,,1.0,1.0,Startupbootcamp Mobility & Transportation,15477.0,Pre-Seed,15477.0,15477.0,Seed,1.0,,,,2021-01-01,Active,,198,SEALIVERY S.R.L.,Roma,185.0,Lazio,VIA SAN MARTINO DELLA BATTAGLIA 31,Roma,185.0,LAZIO,620100.0,12/05/2021,,Attiva,S.R.L.
AEROLIGHT,Private,"Farming, Industrial Engineering, Manufacturing",,"Carpi, Emilia-Romagna, Italy","2,264,488",8.0,,,,,,,,,,,,,,,2019-03-29,Active,Less than $1M,,AEROLIGHT SRL,Modena,41012.0,Emilia-Romagna,VIA ALESSANDRO MANZONI 8,Modena,41012.0,EMILIA-ROMAGNA,721100.0,28/03/2019,,Attiva,S.R.L.
Vaimee,Private,"Graphic Design, Internet of Things, Software",1-10,"Bologna, Emilia-Romagna, Italy","2,073,479",7.0,,,,,,,,,,,,,,,2020-01-01,Active,,40127,VAIMEE S.R.L.,Bologna,40127.0,Emilia-Romagna,,,,,620100.0,19/02/2020,,Attiva,S.R.L.
Flywallet,Private,"FinTech, Payments, Software, Wearables",1-10,"Roma, Lazio, Italy","1,578,775",9.0,,,,,,,,,,,,,,,2018-01-01,Active,Less than $1M,,FLYWALLET SRL,Rieti,2034.0,Lazio,,,,,620100.0,08/12/2018,,Attiva,S.R.L.
CareGlance,Private,"Hardware, Laser, Small and Medium Businesses",1-10,"Milan, Lombardia, Italy","137,325",5.0,,,1.0,,LIFTT,254803.0,Seed,254803.0,254803.0,Seed,1.0,Maria Chiara Ubaldi,1.0,,2019-03-04,Active,$1M to $10M,,CAREGLANCE S.R.L.,Milano,20135.0,Lombardia,,,,,266002.0,04/03/2019,,Attiva,S.R.L.
MedSniper,Private,Health Care,1-10,"Savona, Liguria, Italy","166,987",7.0,,,1.0,1.0,Club degli Investitori,240111.0,Seed,240111.0,240111.0,Seed,1.0,Andrea Mazza,1.0,,2019-01-01,Active,,,MEDSNIPER S.R.L.,Savona,17100.0,Liguria,VIA BARTOLOMEO GUIDOBONO 11/4,Savona,17100.0,LIGURIA,266002.0,02/09/2019,,Attiva,S.R.L.
Collecto App,Private,"Apps, Sustainability",1-10,"Milano, Lombardia, Italy","75,297",2.0,,,25.0,,"Riccardo Boroni Grazioli, Andrea Manfredi, Manlio Costantini, Marco Valioni, Marco Bragadin",805590.0,Pre-Seed,805590.0,805590.0,Seed,1.0,,,,2023-01-01,Active,,,COLLECTO S.R.L.,Milano,20121.0,Lombardia,,,,,620100.0,19/07/2023,,Attiva,S.R.L.
Small Pixels,Private,"Broadcasting, Video Games, Video on Demand, Video Streaming",1-10,"Firenze, Toscana, Italy","332,392",8.0,,,,,,,,,,,,"Alberto Del Bimbo, Leonardo Galteri, Marco Bertini",3.0,,2020-01-01,Active,,50134,SMALL PIXELS S.R.L.,Firenze,50131.0,Toscana,VIALE DEI MILLE 60,Firenze,50131.0,TOSCANA,620100.0,17/08/2020,,Attiva,S.R.L.
Ready To Share,Private,"Fashion, Retail, SaaS, Software",1-10,"Milan, Lombardia, Italy","164,254",8.0,,,3.0,1.0,"20V, Fashion Technology Accelerator Milan, H2 Investments",170681.0,Pre-Seed,105483.0,105483.0,Seed,2.0,Gaja Sabatino,1.0,,2021-07-20,Active,,20129,READY TO SHARE SRL IN FORMA ABBREVIATA R2S SRL,Milano,20129.0,Lombardia,VIALE LUIGI MAJNO 28,Milano,20129.0,LOMBARDIA,620100.0,20/07/2021,,Attiva,S.R.L.
Smartea,Private,"Environmental Consulting, Lighting, Sustainability",1-10,"Verona, Veneto, Italy","3,154,010",9.0,,,,,,,,,,,,,,,2018-01-01,Active,,37030,SMARTAG S.R.L.,Roma,176.0,Lazio,,,,,620200.0,01/03/2022,,Attiva,S.R.L.
